name,url,code,code_link,code_nav,has_children
Корневой элемент,root-none,root-none,root-none,SdCategoryNavNode,True
Прокат инструмента,/category/prokat-instrumenta-98001,prokat-instrumenta-98001,cmsitem_00298003,cmsitem_00298005,True
Прочий инструмент,/category/arenda-prochij-instrument-110006,arenda-prochij-instrument-110006,cmsitem_00333041,cmsitem_00333043,False
Расходные материалы,/category/arenda-rashodnye-materialy-108003,arenda-rashodnye-materialy-108003,cmsitem_00332002,cmsitem_00332004,False
Ручной инструмент,/category/arenda-ruchnoj-instrument-110007,arenda-ruchnoj-instrument-110007,cmsitem_00333013,cmsitem_00333012,False
Сантехнический инструмент,/category/arenda-santehnicheskij-instrument-119041,arenda-santehnicheskij-instrument-119041,cmsitem_00353000,cmsitem_00353002,False
Тепловое оборудование,/category/arenda-teplovoe-oborudovanie-110008,arenda-teplovoe-oborudovanie-110008,cmsitem_00333018,cmsitem_00333020,False
Садовая техника,/category/arenda-sadovaja-tehnika-109001,arenda-sadovaja-tehnika-109001,cmsitem_00333038,cmsitem_00333040,False
Оборудование для сварочных работ,/category/arenda-oborudovanie-dlja-svarochnyh-rabot-110004,arenda-oborudovanie-dlja-svarochnyh-rabot-110004,cmsitem_00333024,cmsitem_00333026,False
Клининговое оборудование,/category/arenda-kliningovoye-oborudovaniye-99019,arenda-kliningovoye-oborudovaniye-99019,cmsitem_00300027,cmsitem_00300029,False
Измерительные приборы,/category/arenda-izmeritelnyye-pribory-99015,arenda-izmeritelnyye-pribory-99015,cmsitem_00300015,cmsitem_00300017,False
Пневмооборудование,/category/arenda-pnevmooborudovanie-110005,arenda-pnevmooborudovanie-110005,cmsitem_00333009,cmsitem_00333011,False
Оборудование для работ с бетоном,/category/arenda-oborudovanie-dlya-rabot-s-betonom-110000,arenda-oborudovanie-dlya-rabot-s-betonom-110000,cmsitem_00333027,cmsitem_00333029,False
Оборудование для работ на высоте,/category/arenda-oborudovanie-dlja-rabot-na-vysote-110003,arenda-oborudovanie-dlja-rabot-na-vysote-110003,cmsitem_00333015,cmsitem_00333017,False
Электроинструменты,/category/arenda-jelektroinstrumenty-153000,arenda-jelektroinstrumenty-153000,cmsitem_00402033,cmsitem_00402035,True
Шуруповерты,/category/arenda-shurupoverty-99002,arenda-shurupoverty-99002,cmsitem_00298021,cmsitem_00298023,False
Штроборезы,/category/arenda-shtroborezy-109002,arenda-shtroborezy-109002,cmsitem_00333000,cmsitem_00333002,False
Шлифмашины,/category/arenda-shlifmashiny-99013,arenda-shlifmashiny-99013,cmsitem_00298030,cmsitem_00298032,False
Фены,/category/arenda-feny-99009,arenda-feny-99009,cmsitem_00298036,cmsitem_00298038,False
Реноваторы,/category/arenda-renovatory-106000,arenda-renovatory-106000,cmsitem_00333003,cmsitem_00333005,False
Плиткорезы,/category/arenda-plitkorezy-99006,arenda-plitkorezy-99006,cmsitem_00298024,cmsitem_00298026,False
"Пилы, рубанки, лобзики",/category/arenda-pily-rubanki-lobziki-99007,arenda-pily-rubanki-lobziki-99007,cmsitem_00298027,cmsitem_00298029,False
"Отбойники, перфораторы, дрели",/category/arenda-otboyniki-perforatory-dreli-99021,arenda-otboyniki-perforatory-dreli-99021,cmsitem_00300033,cmsitem_00300035,False
Миксеры,/category/arenda-miksery-99026,arenda-miksery-99026,cmsitem_00299011,cmsitem_00299013,False
Краскопульты,/category/arenda-kraskopulty-99027,arenda-kraskopulty-99027,cmsitem_00299014,cmsitem_00299016,False
Болгарки ,/category/arenda-bolgarki-99000,arenda-bolgarki-99000,cmsitem_00298006,cmsitem_00298008,False
Дорожно-строительная техника,/category/arenda-dorozhno_stroitelnaja-tehnika-99020,arenda-dorozhno_stroitelnaja-tehnika-99020,cmsitem_00300030,cmsitem_00300032,False
Сад,/category/sad-4614,sad-4614,tovary-dlja-sada-i-ogoroda-4614Link,tovary-dlja-sada-i-ogoroda-4614NavNode,True
Садовый декор,/category/sadovyj-dekor-13436,sadovyj-dekor-13436,sadovyj-dekor-13436Link,sadovyj-dekor-13436NavNode,True
Кормушки для птиц,/category/kormushki-dlja-ptic-40036,kormushki-dlja-ptic-40036,cmsitem_00028017,cmsitem_00028019,False
Ограждения декоративные,/category/ograzhdenija-dekorativnye-40055,ograzhdenija-dekorativnye-40055,cmsitem_00053003,cmsitem_00053005,False
Искусственный камень,/category/iskusstvennyj-kamen-5299,iskusstvennyj-kamen-5299,iskusstvennyj-kamen-5299Link,cmsitem_00028005,False
Насосы,/category/nasosy-179001,nasosy-179001,nasosy-6759Link,cmsitem_00030013,False
"Уголь, дрова и средства для розжига",/category/ugol-drova-i-sredstva-dlja-rozzhiga-8278,ugol-drova-i-sredstva-dlja-rozzhiga-8278,brikety-toplivnye-8278Link,brikety-toplivnye-8278NavNode,False
Уход за растениями,/category/uhod-za-rastenijami-8286,uhod-za-rastenijami-8286,uhod-za-rastenijami-8286Link,uhod-za-rastenijami-8286NavNode,True
Известь и побелка,/category/izvest-i-pobelka-261000,izvest-i-pobelka-261000,cmsitem_00626008,cmsitem_00626010,False
"Грунт, удобрения, отсыпка",/category/grunt-udobrenija-otsypka-40022,grunt-udobrenija-otsypka-40022,cmsitem_00039003,cmsitem_00039005,False
Грядки,/category/grjadki-4698,grjadki-4698,grjadki-4698Link,grjadki-4698NavNode,False
Распылители-дождеватели,/category/raspyliteli-dozhdevateli-4918,raspyliteli-dozhdevateli-4918,raspyliteli-dozhdevateli-4918Link,raspyliteli-dozhdevateli-4918NavNode,False
Лейки садовые,/category/lejki-sadovye-4927,lejki-sadovye-4927,lejki-sadovye-4927Link,lejki-sadovye-4927NavNode,False
Системы капельного полива,/category/sistemy-kapelnogo-poliva-40046,sistemy-kapelnogo-poliva-40046,cmsitem_00043000,cmsitem_00043006,False
Опрыскиватели,/category/opryskivateli-7718,opryskivateli-7718,opryskivateli-7718Link,opryskivateli-7718NavNode,False
Фитинги для шлангов,/category/fitingi-dlja-shlangov-4701,fitingi-dlja-shlangov-4701,adapter-dlja-sadovogo-shlanga-4701Link,adapter-dlja-sadovogo-shlanga-4701NavNode,False
Шланги садовые,/category/shlangi-sadovye-4905,shlangi-sadovye-4905,shlangi-sadovye-4905Link,shlangi-sadovye-4905NavNode,False
Теплицы и поликарбонат,/category/teplitsy-i-polikarbonat-4684,teplitsy-i-polikarbonat-4684,teplitsy-i-polikarbonat-4684Link,teplitsy-i-polikarbonat-4684NavNode,True
Тент,/category/tent-5018,tent-5018,tent-5018Link,tent-5018NavNode,False
Спанбонд,/category/spanbond-4705,spanbond-4705,spanbond-4705Link,spanbond-4705NavNode,False
Комплектующие для теплиц,/category/komplektujushhie-dlja-teplic-4709,komplektujushhie-dlja-teplic-4709,termoshajba-4709Link,termoshajba-4709NavNode,False
Поликарбонат,/category/polikarbonat-4708,polikarbonat-4708,polikarbonat-4708Link,polikarbonat-4708NavNode,False
Теплицы,/category/teplitsy-4686,teplitsy-4686,pr-l3-teplitsyLink,pr-l3-teplitsyNavNode,False
Емкости для воды,/category/emkosti-dlja-vody-6575,emkosti-dlja-vody-6575,cmsitem_00030023,cmsitem_00030025,False
Товары для отдыха на природе,/category/tovary-dlja-otdyha-na-prirode-9341,tovary-dlja-otdyha-na-prirode-9341,tovary-dlja-otdyha-na-prirode-9341Link,tovary-dlja-otdyha-na-prirode-9341NavNode,True
Плиты газовые,/category/plity-gazovye-4845,plity-gazovye-4845,cmsitem_00377014,cmsitem_00377016,False
Средства от насекомых,/category/sredstva-ot-nasekomyh-4955,sredstva-ot-nasekomyh-4955,sredstva-ot-nasekomyh-4955Link,sredstva-ot-nasekomyh-4955NavNode,False
"Грили, мангалы и аксессуары",/category/grili-mangaly-i-aksessuary-9343,grili-mangaly-i-aksessuary-9343,grili-mangaly-i-aksessuary-9343Link,grili-mangaly-i-aksessuary-9343NavNode,True
Решетки-гриль,/category/reshetki-gril-4967,reshetki-gril-4967,reshetki-gril-4967Link,reshetki-gril-4967NavNode,False
Баллоны с газом,/category/ballony-s-gazom-4965,ballony-s-gazom-4965,ballony-s-gazom-4965Link,ballony-s-gazom-4965NavNode,False
Шампуры,/category/shampury-9344,shampury-9344,shampury-9344Link,shampury-9344NavNode,False
Мангалы,/category/mangaly-4962,mangaly-4962,mangaly-4962Link,mangaly-4962NavNode,False
Товары для дома и дачи,/category/tovary-dlja-doma-i-dachi-13345,tovary-dlja-doma-i-dachi-13345,tovary-dlja-doma-i-dachi-13345Link,tovary-dlja-doma-i-dachi-13345NavNode,True
Фонари,/category/fonari-5970,fonari-5970,fonari-5970Link,cmsitem_00029009,False
Изоленты,/category/izolenty-5887,izolenty-5887,izolenty-5887Link,cmsitem_00029005,False
Термометры,/category/termometry-4949,termometry-4949,termometry-4949Link,termometry-4949NavNode,False
